Kata,POS Tag,Frekuensi
pembuat,NOUN,3
berterimakasiih,NOUN,1
menjalankan,VERB,1
n,NOUN,14
gaada,NOUN,4
iklann,NUM,1
harga,NOUN,12
psikolognya,NOUN,18
mahal,ADJ,20
auto,PROPN,5
refresh,NOUN,1
chat,VERB,25
masuk,VERB,40
chatnya,NUM,4
ilmu,NOUN,2
banyaknya,NOUN,1
pilihan,NOUN,12
pilih,NOUN,6
kenyamanan,NOUN,2
apl,PROPN,4
kesulitan,NOUN,6
apresiasi,NOUN,3
berubah,VERB,2
yaa,NOUN,16
loading,PROPN,13
berasa,PROPN,5
temen,NOUN,19
mengarahkan,VERB,2
ttg,NOUN,3
rasakan,VERB,7
tp,NOUN,39
plong,NOUN,1
instannya,PROPN,1
terjangkau,VERB,7
pengen,VERB,7
membentuk,VERB,1
kebiasaan,NOUN,1
mendisiplinkan,NOUN,1
iniii,NOUN,1
terarah,NOUN,1
tim,NOUN,7
dgn,NOUN,18
fungsional,ADJ,1
secret,NOUN,1
book,PROPN,1
hidupku,NOUN,6
fiturnya,NOUN,12
pahami,VERB,2
firtur,NUM,1
eksplore,NOUN,1
mengatasi,VERB,9
kecemasan,NOUN,11
mentalnya,NOUN,2
bintang,NOUN,41
layanan,NOUN,8
mencurahkan,VERB,3
far,NOUN,4
berharap,VERB,6
konten,NOUN,12
engga,NOUN,5
berlangganan,NOUN,6
akses,NOUN,15
gapapa,NUM,3
iklan,NOUN,2
fokus,NOUN,5
aktifitas,NOUN,2
nice,NOUN,22
jelek,PROPN,2
bales,NOUN,15
buang,NOUN,2
setres,NOUN,1
yesel,NOUN,1
donlod,NOUN,1
mood,NOUN,15
tracker,NOUN,3
kacaunya,NOUN,1
grafik,NOUN,1
didiagnosis,VERB,1
bpd,PROPN,1
psikiater,NOUN,3
mantap,PROPN,35
free,NOUN,18
konsul,NOUN,9
kalo,NOUN,40
beli,VERB,17
paket,NOUN,25
alhamdulillah,VERB,24
dipakai,VERB,4
bayar,NOUN,74
menit,NOUN,10
blm,NOUN,20
direspon,VERB,4
keburu,VERB,4
habis,NOUN,8
kesel,NOUN,4
stres,NOUN,19
cocok,ADJ,27
anak,NOUN,4
parah,ADJ,10
menjalani,VERB,9
indah,ADJ,1
you,PROPN,17
psikososial,NOUN,1
rutin,PROPN,3
dsni,NOUN,1
jujur,PROPN,7
derita,NOUN,1
bngt,NOUN,13
backsound,NOUN,1
ny,PROPN,9
klo,ADV,31
tidur,VERB,37
dengerin,NUM,11
dlu,NUM,15
bangettt,NOUN,8
mindfullness,NUM,2
penyelamat,NOUN,2
lihat,VERB,3
youtube,NOUN,1
negara,NOUN,3
menerapkan,VERB,2
pembiasaan,NOUN,1
menulis,VERB,7
diary,NOUN,3
mengerti,VERB,4
manfaatnya,NOUN,4
pertahankan,NOUN,2
maju,VERB,4
mengobati,VERB,2
sukaa,NUM,4
hilang,VERB,8
krn,NOUN,8
trimakasih,NUM,7
mempermudah,VERB,1
pengguna,NOUN,29
perubahanupdate,NUM,1
an,NOUN,5
sebelumny,NOUN,1
feedback,NOUN,2
perubahan,NOUN,7
pemilihanfiltur,NOUN,1
pelan,NOUN,6
sebagus,VERB,4
dipertahankan,VERB,1
sisi,NOUN,1
sngtat,PROPN,1
keluarga,NOUN,5
g,PROPN,9
percaya,VERB,5
memelihara,VERB,1
ciptain,NUM,2
nyenyak,NOUN,8
psikologis,NOUN,4
dilengkapi,VERB,2
musik,NOUN,1
kuharap,NUM,1
kecewa,VERB,23
sdh,NOUN,3
mendownloadnya,NUM,1
ngetik,NOUN,1
ragu,NOUN,2
diarahkan,VERB,1
takut,VERB,7
didalam,ADP,1
si,DET,8
tpi,PROPN,16
cuman,NOUN,5
mke,VERB,1
voucher,NOUN,7
ktnga,NOUN,1
gk,NOUN,31
tolong,NOUN,58
pertma,NOUN,1
kli,NUM,3
